id,canonical_slug,name,created,description,context_length,supported_parameters,hugging_face_id,knowledge_cutoff,expiration_date,supported_voices
~deepseek/deepseek-pro-latest,~deepseek/deepseek-pro-latest,DeepSeek: DeepSeek Pro Latest,1789399174,This model always redirects to the latest model in the DeepSeek Pro family.,1048576,frequency_penalty; include_reasoning; logit_bias; logprobs; max_tokens; min_p; presence_penalty; reasoning; reasoning_effort; repetition_penalty; response_format; seed; stop; structured_outputs; temperature; tool_choice; tools; top_k; top_logprobs; top_p,,,,
~deepseek/deepseek-flash-latest,~deepseek/deepseek-flash-latest,DeepSeek: DeepSeek Flash Latest,1789399150,This model always redirects to the latest model in the DeepSeek Flash family.,1048576,frequency_penalty; include_reasoning; logit_bias; logprobs; max_tokens; min_p; presence_penalty; reasoning; reasoning_effort; repetition_penalty; response_format; seed; stop; structured_outputs; temperature; tool_choice; tools; top_k; top_logprobs; top_p,,,,
inference-net/schematron-v2-turbo,inference-net/schematron-v2-turbo-20260902,Inference.net: Schematron V2 Turbo,1789176949,Schematron V2 Turbo is a 3B-parameter HTML-to-JSON extraction model from Inference.net. It prioritizes throughput for high-volume extraction workloads. Extraction instructions must be supplied through a JSON schema in response_format rather...,128000,frequency_penalty; logit_bias; max_tokens; min_p; presence_penalty; response_format; seed; stop; structured_outputs; temperature; top_k; top_p,inference-net/schematron-v2-granite-4.0-h-micro,,,
inference-net/schematron-v2-small,inference-net/schematron-v2-small-20260902,Inference.net: Schematron V2 Small,1789176933,Schematron V2 Small is a 3B-parameter HTML-to-JSON extraction model from Inference.net. It prioritizes extraction quality for complex schemas and long pages. Extraction instructions must be supplied through a JSON schema...,128000,frequency_penalty; logit_bias; max_tokens; min_p; presence_penalty; response_format; seed; stop; structured_outputs; temperature; top_k; top_p,inference-net/schematron-v2-llama-3.2-3b,,,
~openai/gpt-astra-latest,~openai/gpt-astra-latest,OpenAI: GPT Astra Latest,1789130932,This model always redirects to the latest model in the GPT Astra family.,1050000,include_reasoning; max_completion_tokens; max_tokens; reasoning; reasoning_effort; response_format; seed; structured_outputs; tool_choice; tools,,,,
~openai/gpt-sol-latest,~openai/gpt-sol-latest,OpenAI: GPT Sol Latest,1789130928,This model always redirects to the latest model in the GPT Sol family.,1050000,include_reasoning; max_completion_tokens; max_tokens; reasoning; reasoning_effort; response_format; seed; structured_outputs; tool_choice; tools,,2026-02-16,,
~openai/gpt-terra-latest,~openai/gpt-terra-latest,OpenAI: GPT Terra Latest,1789130925,This model always redirects to the latest model in the GPT Terra family.,1050000,include_reasoning; max_completion_tokens; max_tokens; reasoning; reasoning_effort; response_format; seed; structured_outputs; tool_choice; tools,,2026-02-16,,
~openai/gpt-luna-latest,~openai/gpt-luna-latest,OpenAI: GPT Luna Latest,1789130922,This model always redirects to the latest model in the GPT Luna family.,1050000,include_reasoning; max_completion_tokens; max_tokens; reasoning; reasoning_effort; response_format; seed; structured_outputs; tool_choice; tools,,2026-02-16,,
sakana/fugu-ultra-v2,sakana/fugu-ultra-v2-20260911,Sakana: Fugu Ultra v2,1789105383,"Fugu Ultra v2 is the higher-performance model in Sakana AI's Fugu family. Rather than a single monolithic model, Fugu is a learned multi-agent orchestration system: a language model trained to...",1000000,include_reasoning; reasoning; reasoning_effort; structured_outputs; tool_choice; tools; web_search_options,,2026-08-28,,
sakana/fugu-max,sakana/fugu-max-20260911,Sakana: Fugu Max,1789104771,"Fugu Max is the cost-performance model in Sakana AI's Fugu family. Rather than a single monolithic model, Fugu is a learned multi-agent orchestration system: a language model trained to route...",1000000,include_reasoning; reasoning; reasoning_effort; structured_outputs; tool_choice; tools; web_search_options,,,,
